"","Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat"
"beta0[1]",0.552645053378805,0.258528645307699,0.117129293818186,0.943908680593538,1475.87616367391,1.00084140287587
"beta0[2]",-0.954685369725809,0.12081227808159,-1.14422180526355,-0.762666469899729,2107.47389856274,1.00024149277194
"beta0[3]",-0.0277136406348929,0.148760868437315,-0.27011115452081,0.208648794423667,1796.03282992682,0.999730817218153
"beta0[4]",2.08624334082721,0.479027764183794,1.33178864125619,2.83847226191256,2086.94229425931,0.999441328196916
"beta0[5]",-0.850421146323268,0.209340838546249,-1.20436729758294,-0.532128169443427,1625.64425083,0.999211259478123
"beta0[6]",1.02151212008993,0.42183186897389,0.277818801854818,1.60777832495306,1977.7730068963,0.999489851389699
"beta0[7]",0.780295516531905,0.209764859624474,0.458725963568594,1.1280077069463,1092.18413179216,1.00147256608159
"beta0[8]",0.816810330028627,0.275416382233074,0.393658701628704,1.27011668382096,1267.06800406119,1.00025609003574
"beta0[9]",0.468181090739268,0.166677483026183,0.208673263124001,0.732490899439103,1364.13160011725,0.99945757251212
"beta0[10]",0.295309422357193,0.417343921738308,-0.392657068410345,0.938032473305725,1987.88898908603,0.99965404687011
"beta0[11]",-0.763367818413214,0.128648461957495,-0.974604601197197,-0.567497006226513,1915.83774892643,0.999795972039019
"sigma",0.433057558023623,0.0375865221262033,0.374665586523202,0.490973111505752,1706.69026357616,1.0007145859274
"sigma2",1.03382419739343,0.266743680646605,0.630756019609838,1.41374190957874,1796.5988622167,0.999978474118405
"beta1",-0.264554136083153,0.124403310518543,-0.472023425100645,-0.0754469320492686,1238.06325959425,1.00036644033704
"beta2",0.467642940405108,0.131405428109182,0.23571070393226,0.653568214509844,993.093559265816,1.00234199077662
