"","state","area_nr","area_name","total_n","germans_n","foreigner_n","for_prop","pop_move_n","pop_migr_background_n","income","unemp_n","unemp_prop","votes_total","afd_votes","afd_prop","east","east_num","state_id","enjoyer","harmony_seeker","hedonist","self_determined","appreciater","type_unknown","conformist","responsibility_denier","afd_prop_log","total_n_z","germans_n_z","foreigner_n_z","for_prop_z","pop_move_n_z","pop_migr_background_n_z","income_z","unemp_n_z","unemp_prop_z","votes_total_z","afd_votes_z","afd_prop_z","afd_prop_log_z","err_avg"
"1","Schleswig-Holstein",3,"Steinburg – Dithmarschen Süd",220.8,209.8,11,5,2627.52,20.3136,20896,14.5728,6.6,130875,11176,0.0853944603629417,"no",0,15,0.197969543147208,0.0786802030456853,0.0634517766497462,0.0736040609137056,0.0939086294416244,0.274111675126904,0.147208121827411,0.0710659898477157,-2.46047404723604,-1.42684801479502,-1.28168250321798,-0.959554921062603,-0.946277340324839,-0.834053505243836,-1.08788036310223,-0.0615549660085355,-0.317038574303959,0.197861263510856,-1.23219316633399,-1.01215680064495,-0.772438646081149,-0.871160941036942,0.589231364721387
"2","Schleswig-Holstein",4,"Rendsburg-Eckernförde",248.7,239.4,9.29999999999998,3.7,2487,21.1395,22093,12.6837,5.1,156268,11578,0.0740906647554202,"no",0,15,0.125,0.103448275862069,0.0474137931034483,0.116379310344828,0.116379310344828,0.478448275862069,0.00862068965517241,0.00431034482758621,-2.60246573632469,-0.690104071379126,-0.230764121695216,-1.05051248896744,-1.187216684085,-0.933136048997609,-1.06054307590696,0.450013755676199,-0.593282179668891,-0.420541361469067,0.0363005218297153,-0.964173892890604,-0.979391997122443,-1.25002595104753,0.802852206546538
"3","Schleswig-Holstein",7,"Pinneberg",307.5,281.5,26,8.4,4028.25,46.125,23766,15.99,5.2,186372,15977,0.0857263966690275,"no",0,15,0.247368421052632,0.105263157894737,0.0631578947368421,0.1,0.223684210526316,0.0421052631578947,0.1,0.118421052631579,-2.45659448833044,0.862603594314588,1.26395425202466,-0.156988145431666,-0.316128287413643,0.153620075116413,-0.2335231107569,1.16501331405428,-0.109801033928552,-0.379314519803738,1.54012968689411,-0.439107198334917,-0.766361454555232,-0.860809425866998,1.02647766003486
"4","Schleswig-Holstein",8,"Segeberg – Stormarn-Mitte",313.2,294.9,18.3,5.8,2881.44,41.6556,22791,14.4072,4.6,191937,17166,0.0894355960549555,"no",0,15,0.198067632850242,0.130434782608696,0.103059581320451,0.0547504025764895,0.148148148148148,0.0402576489533011,0.0982286634460548,0.227053140096618,-2.41423650988697,1.01312117415224,1.73970784365997,-0.568972423588879,-0.79800697493397,-0.655011094839923,-0.381460235578963,0.748321999398793,-0.341254307218274,-0.626675569795708,1.81812627550636,-0.297187603011727,-0.698452296494436,-0.747789036927223,1.01781679302115
"5","Schleswig-Holstein",10,"Herzogtum Lauenburg – Stormarn-Süd",311.1,290.6,20.5,6.6,5226.48,39.5097,23628,14.9328,4.8,191971,18791,0.0978845763162144,"no",0,15,0.155948553054662,0.159163987138264,0.0948553054662379,0.186495176848875,0.117363344051447,0.0691318327974277,0.127009646302251,0.090032154340836,-2.32396628714616,0.957667328948898,1.58704064634416,-0.451262629829676,-0.6497366095431,0.998508179315697,-0.452489518291557,1.1060354664415,-0.264395676664143,-0.544221886465051,1.81982472726069,-0.103226844054465,-0.543765778915704,-0.506928257948796,1.02710900306393
"6","Mecklenburg-Vorpommern",12,"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",270.9,254.6,16.3,6,7260.12,12.7323,18008,21.1302,7.8,155412,25692,0.165315419658714,"yes",1,8,0.196808510638298,0.212765957446809,0.0212765957446809,0.0425531914893617,0.361702127659574,0.101063829787234,0.0558510638297872,0.00797872340425532,-1.7998999956339,-0.103877707800887,0.308896668816474,-0.675981327006339,-0.760939383586252,2.43245512124156,-1.33882136735638,-1.29581600880345,0.64185180620528,0.692583363494794,-0.00646049880857598,0.720479739061879,0.690778747348115,0.89139570068826,0.666199018570744
"7","Niedersachsen",28,"Delmenhorst – Wesermarsch – Oldenburg-Land",294.2,270.4,23.8,8.1,4795.46,44.4242,20248,19.4172,6.6,168818,16393,0.0971045741567842,"no",0,9,0.06,0.14,0.04,0.08,0.1,0.36,0.06,0.16,-2.33196679710351,0.511395908026724,0.869859858953624,-0.274697939190869,-0.37172967443522,0.694590174698907,-0.289819584981038,-0.338494424364181,0.391359351602491,0.197861263510856,0.663229037028963,-0.389453244041858,-0.558046297275937,-0.528275375547986,0.673653904315392
"8","Niedersachsen",29,"Cuxhaven – Stade II",234.7,222.5,12.2,5.2,2863.34,25.817,20649,13.6126,5.8,140716,12652,0.0899115949856448,"no",0,9,0.10989010989011,0.142857142857143,0.0879120879120879,0.0989010989010989,0.0549450549450549,0.296703296703297,0.120879120879121,0.0879120879120879,-2.40892836934028,-1.05979637273477,-0.830781711145713,-0.895349579012128,-0.909209748977122,-0.667773648511594,-0.905717841791596,-0.167116765721258,-0.457448880731044,-0.13195346981177,-0.740591292383726,-0.835980751278236,-0.689737562327386,-0.733625752200734,0.677848571600766
"9","Niedersachsen",30,"Stade I – Rotenburg II",252,234.4,17.6,7,3250.8,33.012,21075,13.356,5.3,151639,13479,0.0888887423420096,"no",0,9,0.125641025641026,0.0666666666666667,0.161538461538462,0.164102564102564,0.141025641025641,0.0230769230769231,0.105128205128205,0.212820512820513,-2.42036977730418,-0.602962314631009,-0.408284118574061,-0.606425539784991,-0.575601426847665,-0.39457038632232,-0.667563366225581,0.0149452856051383,-0.494971568326535,-0.33808767813841,-0.19493868907525,-0.737269645027371,-0.708464261709751,-0.764153941354617,0.861684808549609
"10","Niedersachsen",32,"Cloppenburg – Vechta",302.6,275.1,27.5,9.1,3540.42,71.111,20024,14.2222,4.7,162519,13146,0.0808890037472542,"no",0,9,0.0476190476190476,0.0952380952380952,0.0714285714285714,0.0476190476190476,0.0714285714285714,0.428571428571429,0.119047619047619,0.119047619047619,-2.51467738817036,0.733211288840113,1.03672865601974,-0.0767314678685721,-0.186391717696633,-0.190355425306324,0.593513404391462,-0.434226582808108,-0.36830690739429,-0.585448728130379,0.348565872308639,-0.777016680555228,-0.854925925306835,-1.01578735852302,1.07256386434931
