state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,Genieser,Harmoniesuchende,Hedonisten,Selbstbestimmte,Werschätzenden,type_unknown,Konformisten,Verantwortungsverweiterer
Schleswig-Holstein,1,Flensburg – Schleswig,282.8,266.7,16.100000000000023,5.7,3478.4400000000005,28.28,20265,20.3616,7.2,170396,11647,0.06835254348693631,no,0,15,0.05925925925925926,0.007407407407407408,0.007407407407407408,0.02962962962962963,0.007407407407407408,0.8888888888888888,NA,NA
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232.3,219.7,12.600000000000023,5.4,3066.36,18.584,22159,16.7256,7.2,138075,9023,0.06534854245880861,no,0,15,0.05063291139240506,0.06329113924050633,0.0379746835443038,0.07172995780590717,NA,0.7130801687763713,0.029535864978902954,0.03375527426160337
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220.8,209.8,11,5,2627.5200000000004,20.313599999999997,20896,14.572799999999999,6.6,130875,11176,0.08539446036294174,no,0,15,0.19796954314720813,0.07868020304568528,0.06345177664974619,0.07360406091370558,0.09390862944162437,0.27411167512690354,0.14720812182741116,0.07106598984771574
Schleswig-Holstein,4,Rendsburg-Eckernförde,248.7,239.4,9.299999999999983,3.7,2487,21.139499999999998,22093,12.683699999999998,5.1,156268,11578,0.07409066475542017,no,0,15,0.125,0.10344827586206896,0.047413793103448273,0.11637931034482758,0.11637931034482758,0.47844827586206895,0.008620689655172414,0.004310344827586207
Schleswig-Holstein,5,Kiel,268,242.9,25.099999999999994,9.4,3189.2000000000003,48.24,18637,23.584,8.8,150173,10390,0.06918687114194962,no,0,15,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,NA,NA,NA,0.36363636363636365
Schleswig-Holstein,6,Plön – Neumünster,219.8,206.8,13,5.9,4615.8,23.738400000000002,20395,15.166200000000002,6.9,130514,11161,0.08551573011324455,no,0,15,0.10752688172043011,0.043010752688172046,NA,0.010752688172043012,NA,0.7419354838709677,0.0967741935483871,NA
Schleswig-Holstein,7,Pinneberg,307.5,281.5,26,8.4,4028.25,46.125,23766,15.99,5.2,186372,15977,0.08572639666902754,no,0,15,0.24736842105263157,0.10526315789473684,0.06315789473684211,0.1,0.2236842105263158,0.042105263157894736,0.1,0.11842105263157894
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313.2,294.9,18.30000000000001,5.8,2881.4399999999996,41.65560000000001,22791,14.407199999999998,4.6,191937,17166,0.08943559605495553,no,0,15,0.19806763285024154,0.13043478260869565,0.10305958132045089,0.05475040257648953,0.14814814814814814,0.040257648953301126,0.09822866344605476,0.22705314009661837
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219.3,209.9,9.400000000000006,4.3,2894.76,18.421200000000002,21962,13.5966,6.2,137273,11780,0.0858143990442403,no,0,15,0.10606060606060606,NA,0.06060606060606061,0.19696969696969696,0.10606060606060606,0.3787878787878788,0.045454545454545456,0.10606060606060606
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311.1,290.6,20.5,6.6,5226.4800000000005,39.5097,23628,14.9328,4.8,191971,18791,0.09788457631621443,no,0,15,0.15594855305466238,0.15916398713826366,0.09485530546623794,0.1864951768488746,0.11736334405144695,0.06913183279742766,0.1270096463022508,0.09003215434083602
Schleswig-Holstein,11,Lübeck,235.3,216.5,18.80000000000001,8,2870.66,38.8245,19238,20.4711,8.7,129805,11549,0.08897191941758792,no,0,15,0.11428571428571428,0.0761904761904762,0.009523809523809525,NA,0.20952380952380953,0.06666666666666667,0.20952380952380953,0.3142857142857143
Mecklenburg-Vorpommern,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,270.9,254.6,16.299999999999983,6,7260.12,12.7323,18008,21.1302,7.8,155412,25692,0.1653154196587136,yes,1,8,0.19680851063829788,0.2127659574468085,0.02127659574468085,0.0425531914893617,0.3617021276595745,0.10106382978723404,0.05585106382978723,0.007978723404255319
Mecklenburg-Vorpommern,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,248.8,241.3,7.5,3,2338.7200000000003,8.956800000000001,18081,17.6648,7.1,145108,25686,0.17701298343302918,yes,1,8,0.022058823529411766,NA,0.04411764705882353,0.022058823529411766,0.029411764705882353,0.8823529411764706,NA,NA
Mecklenburg-Vorpommern,14,Rostock – Landkreis Rostock II,271.6,261.2,10.400000000000034,3.8,2688.84,14.938000000000002,16879,24.172400000000003,8.9,162306,25170,0.15507744630512735,yes,1,8,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.11904761904761904,0.023809523809523808,0.7142857142857143,0.07142857142857142,NA
Mecklenburg-Vorpommern,15,Vorpommern-Rügen – Vorpommern-Greifswald I,292.3,282.3,10,3.4,3244.53,9.645900000000001,17287,34.7837,11.9,167411,32881,0.19640883812891627,yes,1,8,0.06875,0.03125,0.0875,0.0375,NA,0.58125,0.10625,0.0875
Mecklenburg-Vorpommern,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,273.3,264,9.300000000000011,3.4,2241.06,9.0189,16955,31.976100000000002,11.7,154807,35597,0.2299443823599708,yes,1,8,NA,NA,NA,NA,NA,1,NA,NA
Mecklenburg-Vorpommern,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,255.6,249.6,6,2.3,2172.6,6.645600000000001,17802,26.071199999999997,10.2,142477,27389,0.1922345361005636,yes,1,8,0.005405405405405406,NA,NA,0.010810810810810811,NA,0.9837837837837838,NA,NA
Hamburg,18,Hamburg-Mitte,350.1,278.4,71.70000000000005,20.5,3921.12,99.07830000000001,23596,24.8571,7.1,174340,13950,0.08001606057129747,no,0,6,NA,NA,NA,NA,NA,1,NA,NA
Hamburg,19,Hamburg-Altona,260.3,222.8,37.5,14.4,2915.36,73.6649,23596,18.481299999999997,7.1,145076,8034,0.055377870909040776,no,0,6,NA,NA,NA,NA,NA,1,NA,NA
Hamburg,20,Hamburg-Eimsbüttel,252.9,223.2,29.700000000000017,11.7,2832.48,71.5707,23596,17.9559,7.1,155141,9120,0.058785234077387664,no,0,6,NA,NA,NA,NA,NA,1,NA,NA
Hamburg,21,Hamburg-Nord,279.8,252.9,26.900000000000006,9.6,3133.7599999999998,79.1834,23596,19.8658,7.1,177403,10919,0.06154912825600469,no,0,6,NA,NA,NA,NA,NA,1,NA,NA
Hamburg,22,Hamburg-Wandsbek,314.7,277.2,37.5,11.9,3524.64,89.0601,23596,22.3437,7.1,171156,16740,0.09780551076211176,no,0,6,NA,NA,NA,NA,NA,1,NA,NA
Hamburg,23,Hamburg-Bergedorf – Harburg,329.5,270.6,58.89999999999998,17.9,3690.3999999999996,93.2485,23596,23.394499999999997,7.1,154154,17614,0.11426236101560777,no,0,6,NA,NA,NA,NA,NA,1,NA,NA
Niedersachsen,24,Aurich – Emden,239.9,227.3,12.599999999999994,5.3,2902.79,21.111200000000004,18428,18.7122,7.8,141037,12875,0.09128810170380822,no,0,9,0.03225806451612903,0.0967741935483871,NA,0.06451612903225806,0.0967741935483871,0.7096774193548387,NA,NA
Niedersachsen,25,Unterems,314.5,285.8,28.69999999999999,9.1,4340.1,42.143,18302,15.725,5,174953,14620,0.08356530039496322,no,0,9,0.04918032786885246,0.01639344262295082,NA,0.04918032786885246,0.01639344262295082,0.7868852459016393,0.08196721311475409,NA
Niedersachsen,26,Friesland – Wilhelmshaven – Wittmund,231.1,220.4,10.699999999999989,4.6,3258.5099999999998,22.878899999999998,18657,18.9502,8.2,137585,12492,0.09079478140785696,no,0,9,NA,NA,NA,NA,0.03571428571428571,0.9642857142857143,NA,NA
Niedersachsen,27,Oldenburg – Ammerland,285.3,266.8,18.5,6.5,4850.1,39.6567,19758,17.6886,6.2,174668,12624,0.07227425744841642,no,0,9,0.18181818181818182,0.18181818181818182,0.09090909090909091,NA,NA,0.36363636363636365,0.09090909090909091,0.09090909090909091
Niedersachsen,28,Delmenhorst – Wesermarsch – Oldenburg-Land,294.2,270.4,23.80000000000001,8.1,4795.46,44.4242,20248,19.417199999999998,6.6,168818,16393,0.09710457415678422,no,0,9,0.06,0.14,0.04,0.08,0.1,0.36,0.06,0.16
Niedersachsen,29,Cuxhaven – Stade II,234.7,222.5,12.199999999999989,5.2,2863.3399999999997,25.816999999999997,20649,13.6126,5.8,140716,12652,0.08991159498564484,no,0,9,0.10989010989010989,0.14285714285714285,0.08791208791208792,0.0989010989010989,0.054945054945054944,0.2967032967032967,0.12087912087912088,0.08791208791208792
Niedersachsen,30,Stade I – Rotenburg II,252,234.4,17.599999999999994,7,3250.8,33.012,21075,13.356,5.3,151639,13479,0.08888874234200964,no,0,9,0.12564102564102564,0.06666666666666667,0.16153846153846155,0.1641025641025641,0.14102564102564102,0.023076923076923078,0.10512820512820513,0.21282051282051281
Niedersachsen,31,Mittelems,308.2,278.9,29.30000000000001,9.5,3513.48,57.9416,18813,11.0952,3.6,178827,9699,0.05423677632572262,no,0,9,NA,NA,NA,NA,NA,0.9791666666666666,NA,0.020833333333333332
Niedersachsen,32,Cloppenburg – Vechta,302.6,275.1,27.5,9.1,3540.42,71.111,20024,14.222200000000003,4.7,162519,13146,0.08088900374725416,no,0,9,0.047619047619047616,0.09523809523809523,0.07142857142857142,0.047619047619047616,0.07142857142857142,0.42857142857142855,0.11904761904761904,0.11904761904761904
Niedersachsen,33,Diepholz – Nienburg I,244.7,229.3,15.399999999999977,6.3,4086.49,32.7898,21380,11.011499999999998,4.5,147273,12433,0.08442144860225567,no,0,9,0.018691588785046728,0.056074766355140186,0.09345794392523364,0.12149532710280374,0.1588785046728972,0.3177570093457944,0.037383177570093455,0.19626168224299065
Niedersachsen,34,Osterholz – Verden,248.2,233.7,14.5,5.9,4144.94,35.4926,22019,10.9208,4.4,151790,14671,0.09665327096646682,no,0,9,0.10606060606060606,0.1590909090909091,0.05303030303030303,0.21212121212121213,0.23484848484848486,NA,0.13636363636363635,0.09848484848484848
Niedersachsen,35,Rotenburg I – Heidekreis,214.9,199.6,15.300000000000011,7.1,5608.89,27.5072,19984,12.2493,5.7,126097,11669,0.09253987010000238,no,0,9,0.15517241379310345,0.13793103448275862,0.15517241379310345,0.1896551724137931,0.08620689655172414,0.06321839080459771,0.06896551724137931,0.14367816091954022
Niedersachsen,36,Harburg,248.1,232.3,15.799999999999983,6.4,3299.73,29.0277,24050,10.4202,4.2,160858,16048,0.09976501013316093,no,0,9,0.19708029197080293,0.15328467153284672,0.1070559610705596,0.18248175182481752,0.1192214111922141,0.029197080291970802,0.11192214111922141,0.09975669099756691
Niedersachsen,37,Lüchow-Dannenberg – Lüneburg,230.8,216.5,14.300000000000011,6.2,4731.4000000000005,27.9268,19347,14.5404,6.3,140138,12495,0.08916211163281908,no,0,9,0.12056737588652482,0.06382978723404255,0.0851063829787234,0.09219858156028368,0.1276595744680851,0.3120567375886525,0.1276595744680851,0.07092198581560284
Niedersachsen,38,Osnabrück-Land,265.6,241.8,23.80000000000001,9,7171.200000000001,51.5264,21041,9.5616,3.6,150192,10939,0.0728334398636412,no,0,9,0.18309859154929578,0.14084507042253522,0.014084507042253521,0.09859154929577464,0.11267605633802817,0.28169014084507044,0.11267605633802817,0.056338028169014086
Niedersachsen,39,Stadt Osnabrück,254.9,232.4,22.5,8.8,5735.25,57.607400000000005,20468,15.8038,6.2,151006,9489,0.06283856270611764,no,0,9,0.21739130434782608,0.2608695652173913,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.043478260869565216
Niedersachsen,40,Nienburg II – Schaumburg,246.1,230.3,15.799999999999983,6.4,2756.3199999999997,37.6533,20359,14.5199,5.9,145646,14943,0.10259808027683562,no,0,9,0.16176470588235295,0.18382352941176472,0.058823529411764705,0.07352941176470588,0.058823529411764705,0.3014705882352941,0.0661764705882353,0.09558823529411764
Niedersachsen,41,Stadt Hannover I,257.3,217,40.30000000000001,15.7,3910.96,62.0093,20136,18.5256,7.2,133867,12227,0.09133692396184273,no,0,9,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.15384615384615385,NA,0.07692307692307693,0.07692307692307693
Niedersachsen,42,Stadt Hannover II,274.9,230.9,43.99999999999997,16,4178.48,66.2509,20136,19.7928,7.2,148090,11245,0.07593355391991356,no,0,9,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.15384615384615385,NA,0.07692307692307693,0.07692307692307693
Niedersachsen,43,Hannover-Land I,303,276.1,26.899999999999977,8.9,5090.4000000000005,73.023,20136,21.816,7.2,180357,18364,0.10182027866952766,no,0,9,0.14516129032258066,0.14516129032258066,0.06451612903225806,0.22580645161290322,0.1935483870967742,NA,0.08064516129032258,0.14516129032258066
Niedersachsen,44,Celle – Uelzen,271.1,255.3,15.800000000000011,5.8,3768.2900000000004,36.327400000000004,19546,18.977000000000004,7,160978,17549,0.10901489644547702,no,0,9,0.031746031746031744,0.09523809523809523,NA,0.07936507936507936,0.07936507936507936,0.5714285714285714,0.06349206349206349,0.07936507936507936
Niedersachsen,45,Gifhorn – Peine,280.1,263.7,16.400000000000034,5.9,3053.09,48.457300000000004,20407,14.565200000000003,5.2,167610,18288,0.10911043493824951,no,0,9,0.05333333333333334,0.08,0.013333333333333334,0.09333333333333334,0.05333333333333334,0.3466666666666667,0.09333333333333334,0.26666666666666666
Niedersachsen,46,Hameln-Pyrmont – Holzminden,237.5,220.2,17.30000000000001,7.3,2517.5,37.525,20459,16.3875,6.9,138650,14052,0.10134871979805266,no,0,9,0.08333333333333333,0.041666666666666664,0.027777777777777776,0.08333333333333333,0.1111111111111111,0.5972222222222222,0.027777777777777776,0.027777777777777776
Niedersachsen,47,Hannover-Land II,309.3,283.5,25.80000000000001,8.3,4794.1500000000005,74.5413,20136,22.2696,7.2,187010,19387,0.10366825303459708,no,0,9,0.1773049645390071,0.16312056737588654,0.1276595744680851,0.1276595744680851,0.2127659574468085,NA,0.09929078014184398,0.09219858156028368
Niedersachsen,48,Hildesheim,277.1,258.1,19,6.8,3879.4000000000005,42.396300000000004,19957,18.565700000000003,6.7,168295,15695,0.09325886092872634,no,0,9,0.2857142857142857,0.061224489795918366,0.04081632653061224,0.1836734693877551,0.16326530612244897,0.14285714285714285,0.08163265306122448,0.04081632653061224
Niedersachsen,49,Salzgitter – Wolfenbüttel,265.2,243.9,21.299999999999983,8,4296.24,48.2664,19830,21.481199999999998,8.1,155710,19117,0.12277310384689487,no,0,9,0.05555555555555555,0.07407407407407407,0.05555555555555555,0.018518518518518517,NA,0.7592592592592593,0.037037037037037035,NA
Niedersachsen,50,Braunschweig,251.4,227,24.400000000000006,9.7,3192.7799999999997,53.7996,19803,15.3354,6.1,146548,12266,0.08369953871768977,no,0,9,NA,NA,NA,0.5,0.5,NA,NA,NA
Niedersachsen,51,Helmstedt – Wolfsburg,241.9,218.9,23,9.5,3362.4100000000003,52.7342,21065,14.0302,5.8,136010,14862,0.10927137710462466,no,0,9,NA,NA,0.021739130434782608,NA,NA,0.9347826086956522,0.021739130434782608,0.021739130434782608
Niedersachsen,52,Goslar – Northeim – Osterode,255.2,238.2,17,6.7,3904.56,31.6448,20180,17.098399999999998,6.7,149522,15113,0.10107542702746085,no,0,9,0.09302325581395349,0.11627906976744186,0.046511627906976744,0.13953488372093023,0.06976744186046512,0.37209302325581395,0.09302325581395349,0.06976744186046512
Niedersachsen,53,Göttingen,286.8,264.2,22.600000000000023,7.9,6539.040000000001,45.314400000000006,19554,17.208000000000002,6,169317,13443,0.07939545349846737,no,0,9,NA,0.058823529411764705,NA,NA,0.058823529411764705,0.38235294117647056,0.029411764705882353,0.47058823529411764
Bremen,54,Bremen I,352.6,302.9,49.700000000000045,14.1,3949.12,93.43900000000002,20582,34.55480000000001,9.8,185913,15716,0.08453416382931801,no,0,5,0.1111111111111111,NA,NA,0.3333333333333333,0.3333333333333333,NA,0.1111111111111111,0.1111111111111111
Bremen,55,Bremen II – Bremerhaven,318.8,266.5,52.30000000000001,16.4,6503.5199999999995,84.1632,19465,35.3868,11.1,145826,17604,0.12071921330901211,no,0,5,0.1,NA,NA,0.3,0.3,0.1,0.1,0.1
Brandenburg,56,Prignitz – Ostprignitz-Ruppin – Havelland I,209.5,203.8,5.699999999999989,2.7,2011.1999999999998,6.704000000000001,17936,18.645500000000002,8.9,118408,22185,0.1873606513073441,yes,1,4,0.12875536480686695,0.26609442060085836,0.017167381974248927,0.0944206008583691,0.2017167381974249,0.1630901287553648,0.09012875536480687,0.03862660944206009
Brandenburg,57,Uckermark – Barnim I,219.9,212.8,7.099999999999994,3.2,2726.76,9.015899999999998,18121,22.649700000000003,10.3,128039,26608,0.20781168237802544,yes,1,4,0.23076923076923078,0.16346153846153846,NA,0.057692307692307696,0.09615384615384616,0.2403846153846154,0.17307692307692307,0.038461538461538464
