state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,enjoyer,harmony_seeker,hedonist,self_determined,appreciater,type_unknown,conformist,responsibility_denier,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z,afd_prop_log
Schleswig-Holstein,1,Flensburg – Schleswig,282.8,266.7,16.100000000000023,5.7,3478.4400000000005,28.28,20265,20.3616,7.2,170396,11647,0.06835254348693631,no,0,15,0.05925925925925926,0.007407407407407408,0.007407407407407408,0.02962962962962963,0.007407407407407408,0.8888888888888888,NA,NA,0.2103607483514127,0.7384950612632791,-0.686682217348083,-0.8165407706078283,-0.2340583577135173,-0.8241925501558633,-0.331229037339419,0.529459219744274,0.44522231350282504,0.7420571802149715,-0.9559380206641112,-1.0844472782356187,-2.683076503820774
Schleswig-Holstein,2,Nordfriesland – Dithmarschen Nord,232.3,219.7,12.600000000000023,5.4,3066.36,18.584,22159,16.7256,7.2,138075,9023,0.06534854245880861,no,0,15,0.05063291139240506,0.06329113924050633,0.0379746835443038,0.07172995780590717,NA,0.7130801687763713,0.029535864978902954,0.03375527426160337,-1.123172195824311,-0.9301929093978669,-0.8739477983286349,-0.8721421576294044,-0.5246215133501154,-1.1451301172285646,0.4782205523605706,-0.002234046417862209,0.44522231350282504,-0.8725210301240619,-1.2691398862049441,-1.1394454488402648,-2.728020142774888
Schleswig-Holstein,3,Steinburg – Dithmarschen Süd,220.8,209.8,11,5,2627.5200000000004,20.313599999999997,20896,14.572799999999999,6.6,130875,11176,0.08539446036294174,no,0,15,0.19796954314720813,0.07868020304568528,0.06345177664974619,0.07360406091370558,0.09390862944162437,0.27411167512690354,0.14720812182741116,0.07106598984771574,-1.4268480147950202,-1.28168250321798,-0.9595549210626028,-0.9462773403248392,-0.8340535052438363,-1.0878803631022296,-0.06155496600853545,-0.3170385743039589,0.19786126351085578,-1.2321931663339887,-1.0121568006449544,-0.7724386460811488,-2.4604740472360405
Schleswig-Holstein,4,Rendsburg-Eckernförde,248.7,239.4,9.299999999999983,3.7,2487,21.139499999999998,22093,12.683699999999998,5.1,156268,11578,0.07409066475542017,no,0,15,0.125,0.10344827586206896,0.047413793103448273,0.11637931034482758,0.11637931034482758,0.47844827586206895,0.008620689655172414,0.004310344827586207,-0.6901040713791261,-0.23076412169521576,-1.0505124889674433,-1.1872166840850022,-0.9331360489976095,-1.060543075906959,0.4500137556761993,-0.5932821796688907,-0.42054136146906684,0.036300521829715306,-0.9641738928906042,-0.9793919971224432,-2.6024657363246875
Schleswig-Holstein,5,Kiel,268,242.9,25.099999999999994,9.4,3189.2000000000003,48.24,18637,23.584,8.8,150173,10390,0.06918687114194962,no,0,15,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,NA,NA,NA,0.36363636363636365,-0.18045682736741356,-0.10650012388002403,-0.20514215196952232,-0.1307903306750564,-0.4380053756137542,-0.1635166179393704,-1.0269966888872453,1.0006716457291112,1.104851780148076,-0.26817193236466014,-1.1059741277467434,-1.0691721520685695,-2.6709441577405015
Schleswig-Holstein,6,Plön – Neumünster,219.8,206.8,13,5.9,4615.8,23.738400000000002,20395,15.166200000000002,6.9,130514,11161,0.08551573011324455,no,0,15,0.10752688172043011,0.043010752688172046,NA,0.010752688172043012,NA,0.7419354838709677,0.0967741935483871,NA,-1.453254607748995,-1.388194501345287,-0.8525460176451445,-0.7794731792601108,0.5679094900219729,-0.9745194947327382,-0.27567019538535426,-0.230265531360996,0.32154178850684056,-1.2502267276078474,-1.0139472076507137,-0.7702184023615606,-2.4590549420286023
Schleswig-Holstein,7,Pinneberg,307.5,281.5,26,8.4,4028.25,46.125,23766,15.99,5.2,186372,15977,0.08572639666902754,no,0,15,0.24736842105263157,0.10526315789473684,0.06315789473684211,0.1,0.2236842105263158,0.042105263157894736,0.1,0.11842105263157894,0.8626035943145881,1.2639542520246616,-0.1569881454316658,-0.3161282874136434,0.15362007511641304,-0.23352311075689963,1.1650133140542787,-0.1098010339285518,-0.3793145198037384,1.5401296868941088,-0.4391071983349165,-0.7663614545552321,-2.4565944883304396
Schleswig-Holstein,8,Segeberg – Stormarn-Mitte,313.2,294.9,18.30000000000001,5.8,2881.4399999999996,41.65560000000001,22791,14.407199999999998,4.6,191937,17166,0.08943559605495553,no,0,15,0.19806763285024154,0.13043478260869565,0.10305958132045089,0.05475040257648953,0.14814814814814814,0.040257648953301126,0.09822866344605476,0.22705314009661837,1.0131211741522437,1.7397078436599664,-0.5689724235888795,-0.7980069749339697,-0.6550110948399228,-0.3814602355789632,0.7483219993987931,-0.3412543072182742,-0.6266755697957077,1.8181262755063645,-0.2971876030117266,-0.6984522964944364,-2.4142365098869667
Schleswig-Holstein,9,Ostholstein – Stormarn-Nord,219.3,209.9,9.400000000000006,4.3,2894.76,18.421200000000002,21962,13.5966,6.2,137273,11780,0.0858143990442403,no,0,15,0.10606060606060606,NA,0.06060606060606061,0.19696969696969696,0.10606060606060606,0.3787878787878788,0.045454545454545456,0.10606060606060606,-1.4664579042259824,-1.2781321032804032,-1.0451620437965692,-1.0760139100418502,-0.6456189835191121,-1.150518796675701,0.39402753801479556,-0.4597885650705916,0.0329538968495433,-0.9125845097407788,-0.9400630785463784,-0.7647502801247817,-2.455568465540152
Schleswig-Holstein,10,Herzogtum Lauenburg – Stormarn-Süd,311.1,290.6,20.5,6.6,5226.4800000000005,39.5097,23628,14.9328,4.8,191971,18791,0.09788457631621443,no,0,15,0.15594855305466238,0.15916398713826366,0.09485530546623794,0.1864951768488746,0.11736334405144695,0.06913183279742766,0.1270096463022508,0.09003215434083602,0.9576673289488977,1.587040646344161,-0.451262629829676,-0.6497366095431001,0.9985081793156966,-0.45248951829155715,1.1060354664415024,-0.2643956766641432,-0.5442218864650513,1.8198247272606891,-0.10322684405446528,-0.5437657789157043,-2.323966287146158
